;Allianz;BASF;Bayer;Beiersdorf;BMW
2020-06-15;176.919998;51.009998;65.250000;96.379997;55.950001
2020-06-16;182.440002;52.889999;68.870003;99.900002;57.070000
2020-06-17;182.779999;53.009998;69.029999;100.250000;57.259998
2020-06-18;181.199997;54.009998;68.550003;99.760002;57.110001
2020-06-19;181.399994;50.939999;69.419998;101.250000;56.930000
2020-06-22;179.479996;50.410000;68.650002;99.800003;57.360001
2020-06-23;183.399994;51.500000;72.599998;101.199997;58.410000
2020-06-24;178.020004;49.645000;69.989998;98.839996;56.180000
2020-06-25;180.759995;49.695000;67.930000;100.150002;57.080002
2020-06-26;178.000000;48.695000;66.790001;101.400002;55.770000
2020-06-29;180.220001;50.130001;66.900002;100.599998;56.709999
2020-06-30;181.759995;49.880001;65.790001;101.099998;56.820000
2020-07-01;180.100006;49.325001;65.900002;102.500000;56.200001
2020-07-02;186.100006;50.970001;67.080002;103.900002;57.950001
2020-07-03;184.139999;50.470001;66.680000;101.849998;57.259998
2020-07-06;186.759995;50.810001;67.059998;99.900002;58.459999
2020-07-07;184.520004;51.000000;63.750000;98.239998;58.650002
2020-07-08;182.979996;50.009998;63.290001;96.459999;58.020000
2020-07-09;180.559998;49.615002;63.340000;95.000000;57.439999
2020-07-10;182.679993;50.080002;63.700001;95.919998;58.689999
2020-07-13;185.139999;51.049999;64.500000;98.440002;58.799999
2020-07-14;186.679993;51.110001;64.000000;97.440002;57.930000
2020-07-15;187.259995;51.820000;64.019997;98.959999;58.610001
2020-07-16;187.360001;51.990002;63.020000;98.739998;58.770000
2020-07-17;185.520004;52.049999;63.000000;99.599998;59.730000
2020-07-21;188.839996;53.029999;62.439999;101.449997;60.820000
2020-07-22;190.000000;53.610001;60.680000;100.949997;59.939999
2020-07-23;186.820007;53.389999;61.650002;102.400002;61.150002
2020-07-24;183.639999;52.439999;60.689999;101.300003;60.220001
2020-07-27;183.399994;51.860001;59.250000;101.400002;59.750000
2020-07-28;184.419998;52.080002;58.900002;102.050003;59.799999
2020-07-29;184.699997;49.529999;58.490002;103.150002;58.290001
2020-07-30;176.639999;47.639999;56.580002;100.949997;56.160000
2020-07-31;176.220001;46.810001;56.240002;101.150002;54.700001
2020-08-03;181.240005;48.340000;58.470001;102.849998;56.209999
2020-08-04;181.539993;47.980000;57.049999;102.250000;58.139999
2020-08-05;180.679993;48.990002;56.139999;102.849998;56.130001
2020-08-06;177.899994;48.605000;55.930000;97.139999;55.230000
2020-08-07;177.720001;48.355000;55.970001;95.739998;54.900002
2020-08-10;179.240005;49.154999;56.580002;95.500000;55.349998
2020-08-11;184.699997;50.610001;57.750000;95.260002;58.540001
2020-08-12;186.259995;51.470001;57.939999;97.300003;58.869999
2020-08-13;183.580002;50.980000;57.619999;96.800003;58.279999
2020-08-14;182.020004;50.299999;56.959999;95.660004;58.220001
2020-08-17;180.720001;50.310001;57.270000;95.459999;57.880001
2020-08-18;181.199997;50.439999;57.070000;94.339996;57.560001
2020-08-19;184.380005;50.740002;57.970001;94.220001;58.250000
2020-08-20;180.960007;49.764999;56.660000;94.620003;57.389999
2020-08-21;179.220001;49.564999;56.330002;94.739998;56.810001
2020-08-24;183.919998;51.700001;57.980000;96.440002;58.250000
2020-08-25;185.000000;51.779999;57.730000;95.839996;57.950001
2020-08-26;185.100006;52.139999;57.540001;96.940002;59.419998
2020-08-27;184.059998;51.790001;56.540001;97.339996;59.599998
2020-08-28;185.720001;51.320000;55.029999;96.599998;59.610001
2020-08-31;181.520004;51.060001;55.540001;96.800003;60.150002
2020-09-01;182.000000;50.630001;55.490002;97.559998;60.130001
2020-09-02;183.500000;51.380001;56.270000;98.800003;60.389999
2020-09-03;181.800003;51.830002;55.220001;99.500000;60.799999
2020-09-04;178.679993;52.119999;54.279999;96.919998;61.380001
2020-09-07;182.020004;53.169998;55.509998;97.739998;62.580002
2020-09-08;179.520004;53.970001;55.009998;96.940002;63.169998
2020-09-09;183.899994;54.730000;55.599998;99.260002;63.740002
2020-09-10;183.160004;54.509998;55.099998;98.919998;63.740002
2020-09-11;183.020004;54.869999;55.389999;98.320000;64.309998
2020-09-14;182.580002;55.230000;55.310001;97.839996;64.120003
2020-09-15;182.800003;54.910000;56.820000;98.459999;64.320000
2020-09-16;181.800003;55.060001;56.459999;97.919998;64.709999
2020-09-17;179.360001;55.150002;56.720001;97.879997;64.809998
2020-09-21;168.820007;50.619999;53.860001;93.360001;60.490002
2020-09-22;165.580002;50.470001;53.860001;94.080002;60.580002
2020-09-23;163.059998;50.279999;54.959999;94.839996;60.959999
2020-09-24;164.380005;49.985001;54.410000;93.040001;60.639999
2020-09-25;161.979996;49.529999;53.470001;92.220001;59.060001
2020-09-28;166.839996;51.820000;54.209999;95.419998;61.730000
2020-09-29;164.880005;52.340000;53.509998;96.639999;62.000000
2020-09-30;163.619995;51.980000;53.310001;97.000000;61.990002
2020-10-01;162.179993;51.369999;46.340000;97.339996;62.660000
2020-10-02;162.800003;52.029999;44.935001;97.160004;62.360001
2020-10-05;166.520004;53.340000;46.770000;96.699997;64.029999
2020-10-06;169.020004;53.950001;46.299999;97.199997;64.849998
2020-10-07;166.639999;55.680000;45.299999;96.360001;65.739998
2020-10-08;167.679993;57.200001;46.314999;96.919998;65.720001
2020-10-09;168.139999;55.040001;46.730000;98.279999;64.699997
2020-10-12;169.839996;54.720001;46.360001;98.919998;65.089996
2020-10-13;166.520004;54.330002;44.750000;99.180000;64.250000
2020-10-14;167.020004;54.470001;44.325001;100.250000;64.080002
2020-10-15;162.240005;52.450001;44.110001;98.620003;62.169998
2020-10-16;163.699997;53.599998;44.810001;100.250000;63.119999
2020-10-19;164.479996;53.209999;44.330002;99.980003;63.619999
2020-10-20;163.619995;52.930000;43.619999;100.900002;64.070000
2020-10-21;161.919998;52.099998;42.500000;99.000000;63.810001
2020-10-22;161.320007;51.790001;42.330002;98.519997;64.010002
2020-10-23;163.419998;52.270000;42.424999;99.320000;63.930000
2020-10-26;160.539993;51.200001;42.555000;99.900002;63.209999
2020-10-27;156.660004;50.330002;41.910000;100.099998;61.470001
2020-10-28;151.899994;46.945000;40.705002;93.599998;58.060001
2020-10-29;150.460007;46.625000;40.785000;90.660004;58.330002
2020-10-30;151.059998;47.070000;40.360001;89.900002;58.680000
2020-11-02;155.059998;48.340000;41.805000;90.559998;59.680000
2020-11-03;161.679993;49.724998;41.959999;91.379997;62.119999
2020-11-04;164.119995;50.070000;43.750000;93.680000;62.520000
2020-11-05;166.940002;50.540001;43.794998;93.599998;64.790001
2020-11-06;168.059998;50.330002;42.744999;93.239998;63.580002
2020-11-09;186.000000;55.730000;46.174999;98.440002;67.629997
2020-11-10;192.520004;57.520000;47.590000;99.459999;69.500000
2020-11-11;190.460007;56.430000;48.095001;100.750000;70.339996
2020-11-12;188.160004;55.610001;47.470001;101.099998;70.699997
2020-11-13;190.940002;56.000000;47.689999;101.500000;70.739998
2020-11-16;194.500000;57.279999;47.785000;101.500000;72.790001
2020-11-17;198.059998;57.959999;47.665001;100.000000;72.849998
2020-11-18;198.800003;58.709999;47.470001;97.639999;73.870003
2020-11-19;194.839996;57.779999;46.395000;97.099998;74.000000
2020-11-20;195.399994;57.650002;47.895000;97.099998;74.150002
2020-11-23;196.600006;58.380001;47.610001;95.480003;73.889999
2020-11-24;199.419998;61.150002;48.685001;93.639999;76.680000
2020-11-25;199.199997;60.209999;49.145000;95.120003;75.400002
2020-11-26;199.059998;60.070000;49.205002;94.620003;74.129997
2020-11-27;198.139999;60.919998;49.509998;94.900002;73.089996
2020-11-30;197.660004;61.330002;48.270000;93.739998;73.040001
2020-12-01;199.979996;61.110001;48.674999;92.860001;74.779999
2020-12-02;199.119995;60.970001;47.825001;92.279999;74.330002
2020-12-03;198.520004;60.660000;47.744999;91.220001;74.290001
2020-12-04;198.580002;61.040001;47.779999;91.879997;74.949997
2020-12-07;196.759995;60.750000;47.165001;91.260002;73.699997
2020-12-08;195.220001;61.619999;47.189999;91.660004;73.010002
2020-12-09;197.259995;63.439999;47.439999;91.400002;73.129997
2020-12-10;197.119995;64.040001;47.419998;91.139999;71.360001
2020-12-11;191.160004;63.110001;46.445000;91.360001;70.510002