,Allianz,BASF,Bayer,Beiersdorf,BMW,Continental,Siemens,Merck,Daimler,VW
2020-01-20,221.7,64.91,75.5,106.7,71.64,113.24,116.82,116.3,46.565,182.02
2020-01-17,219.65,64.52,75.25,105.9,71.06,114.72,117.1,115.5,46.69,181.36
2020-01-16,217.35,64.39,74.76,106,71.17,115.56,116.06,114.8,46.875,179.92
2020-01-15,217.2,64.35,75.32,107,72.19,117.24,115.74,116.05,47.24,182.62
2020-01-14,218.85,64.76,74.54,107,73.3,117.62,116.4,115.1,48.455,185.22
2020-01-13,219.65,65.79,74.73,107.3,73.63,115.9,115.76,113.4,48.895,185.28
2020-01-10,220.25,65.83,75.36,107.7,74.57,119,116,113.7,49.43,185.52
2020-01-09,220.7,66.31,74.72,107.15,74.36,120.12,118.4,112.55,49.68,181.72
2020-01-08,218.3,65.73,74,106.2,74.41,117.34,117.04,111.3,49.47,176.82
2020-01-07,218.2,66.3,72.13,105.75,74.22,115.12,116.56,109.5,49.195,176.06
2020-01-06,217.7,66.27,71.74,106,73.05,112.68,115.82,108.4,48.805,176.62
2020-01-03,219.05,67.27,72.58,105.65,73.32,113.98,116.36,107.25,49.07,176.64
2020-01-02,221.5,68.29,73.52,105.65,74.22,116.4,118.64,106,49.975,180.5
2019-12-30,218.4,67.35,72.81,106.65,73.14,115.26,116.54,105.35,49.37,176.24
2019-12-27,220.6,67.9,73.21,106.75,73.51,115.6,118.24,105.3,49.84,176.66
2019-12-23,220.6,67.54,73.6,106.85,73.54,115.82,117.52,105.3,49.785,176.16
2019-12-20,220.75,67.94,71.5,107.05,74.15,116.28,118.14,104.4,49.97,176.96
2019-12-19,218.95,67.29,71.01,105.05,74.1,116.64,117.44,104.1,49.91,177.1
2019-12-18,221.1,67.02,70.84,103.75,75.16,118.62,116.88,103.4,50.31,179.68
2019-12-17,222.6,67.25,70.06,102.95,74.99,120.86,118.24,104.25,51.05,181.1
2019-12-16,221.2,68.85,71.59,104.15,75.89,120.18,119.9,103.9,50.86,182.24
2019-12-13,219.7,68.38,71.01,102.95,75.87,119.14,117.78,102.7,50.63,183.3
2019-12-12,218.25,68.09,69.8,102.85,74.81,118.82,117.88,102.8,49.92,179.58
2019-12-11,216.1,67.55,69.1,103.85,74.21,117.04,117.2,102.9,49.495,178.24
2019-12-10,215.55,67.35,69,103.5,73.2,115.26,115.36,103.35,48.755,175.7
2019-12-09,216,67.79,68.77,103.8,73.18,116.58,116.02,103.2,49.055,175.82
2019-12-06,217.1,68.29,69.18,104.8,73.79,117.38,116.8,104.35,49.455,176.6
2019-12-05,214.2,67.87,68.98,103.9,72.81,116.24,116.14,104,49.26,174.94
2019-12-04,216,68.35,69.32,105.35,72.76,117.32,117.94,103.35,49.6,175.16
2019-12-03,213.3,67.38,67.67,104.7,71.81,116.52,116.92,103.5,49.245,174.3
2019-12-02,213.55,67.58,67.56,103.4,71.91,116.84,116.2,104.3,49.855,174.78
2019-11-29,217.35,68.22,68.7,105.85,73.3,118.6,117.12,106,51.2,175.48
2019-11-28,218.8,68.75,68.94,105.45,73.62,120.82,117.34,106.2,51.96,176.7
2019-11-27,218.35,68.83,69.7,105.65,74.74,121.26,117.52,106.65,52.43,177.88
2019-11-26,217.2,69.19,69.03,105.6,73.81,122.4,117.7,107.15,52.52,175.88
2019-11-25,218.65,69.95,69.62,104,74.18,123.72,116.42,106.6,52.75,177
2019-11-22,218.5,69.68,68.53,103.4,74.07,121.72,114.78,106.6,52.03,177.08
2019-11-21,217.6,69.45,68.5,104.3,73.6,121.08,114.84,107.15,51.03,176.34
2019-11-20,217.85,69.58,69.15,105.45,73.32,121.54,114.82,107.8,50.1,175.5
2019-11-19,218.7,69.78,70.19,106,73.52,123.4,114.44,108.2,50.16,177.32
2019-11-18,218.05,69.86,70.25,106.2,73.18,122.98,114.4,108.15,50.23,175.94
2019-11-15,218.85,70.49,70.43,105.75,74.55,124.86,115,108,50.68,183.46
2019-11-14,217.25,70.21,70.37,105.1,73.41,123.3,114.76,106.15,51.14,179.92
2019-11-13,218,70.05,70.5,105.25,73.66,124.2,114.58,109.75,53.54,181
2019-11-12,218.9,71.07,70.4,104.9,74.87,127,114.48,109.5,53.92,182.94
2019-11-11,220.1,70.37,70.5,105.55,75.03,131.28,112.54,109.5,53.43,181.5
2019-11-08,219,70.98,70.63,106.75,75.04,131.4,113.8,109.55,53.45,181.68
2019-11-07,225.1,71.48,71.59,106.85,74.45,132.68,113.66,107.9,53.79,184.24
2019-11-06,223.8,71.37,71.71,107.15,73.51,130.28,108.36,108.35,52.61,179.66
2019-11-05,221.6,71.03,71.64,105.2,72.8,130.26,108.38,108,53.32,178.2
2019-11-04,222.05,70.29,71.28,105.2,71.6,127.54,107.46,107.95,53.15,177.72
2019-11-01,219.65,69,69.9,104.65,69.44,122.72,104.94,108.55,52.7,172.7
2019-10-31,219,68.23,69.58,106.15,68.71,119.88,103.38,106.9,52.41,170.7
2019-10-30,220.7,68.81,67.28,104.7,69.29,121.28,104.66,107,53.1,174.58
2019-10-29,221.9,70,65.93,103,69.83,126.36,105.5,106.55,53.45,173.3
2019-10-28,222.1,69.99,66.38,103.8,69.89,127.12,105.12,106.3,53.55,176.12
2019-10-25,221.55,70.62,66.54,103.65,69.43,124.14,104.4,106.5,52.88,172.36
2019-10-24,222.9,70.08,67.25,104.05,69.03,122.04,103.78,105.6,52.06,175
2019-10-23,221.35,67.79,66.5,103.4,68.66,122.5,103.68,103.55,50.42,171.62
2019-10-22,220.6,67.24,65,104.3,68.47,124.1,103.2,104.8,49.645,171.02
2019-10-21,219.3,67.61,65.73,104.45,67.84,119.18,101.94,105.25,49.2,170.88
2019-10-18,218.1,66.31,65.24,105.75,67.41,117.56,99.77,106,48.425,169.34
2019-10-17,215.35,66.13,65.97,106.35,67.91,118.18,98.92,106.3,49.125,170.18
2019-10-16,213.65,66.21,66.21,106.2,67.13,118.92,100.72,106,48.8,169.78
2019-10-15,214,65.46,66.64,106,66.63,117.58,99.88,105,48.05,164.64
2019-10-14,210.7,64.59,65.61,104.45,64.91,115.78,99.18,104.15,47.065,161.84
2019-10-11,213.1,64.86,65.22,103.35,64.78,115.32,99.13,103.9,47.06,161.5
2019-10-10,207.15,62.98,64.14,104.7,63.23,112.84,96.49,103.85,45.54,153.94
2019-10-09,206.1,62.05,64.18,106.55,62.35,111.66,95.94,103.35,44.4,150
2019-10-08,205.4,61.6,63.37,106.15,61.86,111.34,94.92,102.3,43.555,149.1
2019-10-07,207.7,62.4,63.13,105.9,62.68,112.76,96.42,102.2,43.805,148.54
2019-10-04,206.25,61.61,62.28,105.85,62.39,114.04,95.3,101.15,43.81,147.82
2019-10-02,206.85,61.77,60.62,105,63.16,114.4,94.84,100.15,44.055,149.14
2019-10-01,212.05,63.25,62.48,107.15,64.38,117.72,96.82,103.05,45.165,153.8
2019-09-30,213.85,64.12,64.69,108.2,64.59,117.7,98.25,103.35,45.62,156.06
2019-09-27,211.85,63.54,64.68,108,63.89,117.5,97.36,103.65,45.38,154.9
2019-09-26,210.85,61.99,64.61,107.75,63.09,118.06,95.71,102.6,44.865,153.64
2019-09-25,208.8,61.83,66.07,107.25,63.38,117,95.93,102.35,45.4,153.88
2019-09-24,209.95,62,65.96,108.4,63.68,116.98,95.49,103.7,45.465,153.2
2019-09-23,211.25,63.42,65.85,107.5,64,118,96.63,104.35,46.24,156.58
2019-09-20,211.95,63.89,67.23,107.6,65.15,118.38,98.01,105.55,47.345,159.8
2019-09-19,211.8,63.92,66.9,107.95,64.99,122.34,97.47,102.35,47.425,158.92
2019-09-18,210.1,64.02,66.2,109.25,64.55,122.92,96.56,99.12,47.36,155.94
2019-09-17,209.7,64.28,66.85,110.05,64.53,122.86,97.01,98.62,47.22,155.84
2019-09-16,210.3,65.67,67.87,107.9,65.1,124.84,96.7,99.5,48.05,157.56
2019-09-13,212,65.75,68.06,109.65,65.06,126.4,96.92,99.02,48.54,158.06
2019-09-12,210.15,64.41,68.01,110.65,64.64,124.64,96.71,97.36,47.76,156.76
2019-09-11,208.7,64.66,69,111.3,63.81,125.22,97.37,95.08,47.18,155.7
2019-09-10,207.6,63.87,69.07,109.8,63.77,125.94,96,93.76,46.85,154.62
2019-09-09,206.65,62.28,67.26,111.4,63.22,121.64,94.19,95.84,46.45,154.08
2019-09-06,204.3,61.46,66.99,114,62.32,117.46,92.55,98,45.405,150.4
2019-09-05,203.05,61.01,66.5,114.45,62.32,116.96,91.55,97.28,45.35,150.84
2019-09-04,201,60.21,67.51,116.35,61.09,111.98,91.2,97.98,43.97,147.96
2019-09-03,199.72,59.36,66.4,115.9,60.4,108.4,89.87,97.84,43.025,146.28
2019-09-02,201.55,60.01,66.72,115.8,60.53,109.78,90.51,97.86,42.6,146.66
2019-08-30,200.5,60.18,67.34,114.5,60.81,109.76,90.95,97.26,42.705,146.1
2019-08-29,199.22,59.67,67.64,114.2,60.17,108.8,90,96,41.985,145.28
2019-08-28,196.82,58.48,66.7,113.6,59.72,108.14,88.71,95.2,41.705,143.54
2019-08-27,198.76,58.24,66.98,113,59.49,107.88,89,95.74,41.54,143.5
2019-08-26,199.16,58,66.62,110.9,59.57,108.3,88.57,94.98,41.33,142.18
2019-08-23,197.64,58.07,66.59,110.15,58.7,106.98,88.19,94.9,40.72,141.16
2019-08-22,200.95,59.06,67.72,110.3,60.61,108.92,88.93,95.22,42.02,143.06
2019-08-21,202.15,58.99,67.23,111.3,60.59,107.72,89.12,96.2,41.955,142.64
2019-08-20,200.45,57.85,66,110.15,59.74,105.44,87.22,95.42,41.335,141.14
2019-08-19,201.15,57.97,66.3,110.5,60.36,106.8,87.23,95.92,41.97,142.32
2019-08-16,198.64,56.85,64.61,110,59.56,106.26,85.84,94.32,41.245,139.86
2019-08-15,196.84,56.2,62.98,109.95,58.82,104.16,85,92.72,40.53,138.16
2019-08-14,197.18,57.32,63.92,108.4,59.6,108,86.15,93.34,41.535,139.88
2019-08-13,201.3,58.67,64.96,107.95,61.04,111.92,89.24,95.12,42.85,142.9
2019-08-12,200.25,58,63.76,108.5,60.83,110.98,88.62,94.5,42.35,140.96
2019-08-09,198.96,58.13,64.63,108.6,61.03,114.14,89,94.86,42.58,141.34
2019-08-08,201.95,58.49,62.97,109.35,62.53,118,90.48,94.56,43.85,144.28
2019-08-07,199.16,56.78,58.84,107.7,62.11,119.7,89.36,92.56,43.31,142.78
2019-08-06,200.4,56.53,55.5,106.45,62.26,118.6,89.64,92.92,43.28,142.94
2019-08-05,201.85,56.61,55.83,103.15,63.34,118.64,89.75,92.18,43.935,142.98
2019-08-02,204.35,58.21,58,105.15,64.65,120.7,92.15,93.28,45.225,146.24
2019-08-01,211.85,60.7,60.25,106.9,67.49,124.46,95,94.08,46.8,150.64
2019-07-31,210.4,60.53,58.75,105,66.83,125.24,98.99,92.44,46.895,150.94
2019-07-30,209,60.44,57.16,106.35,67.11,125.52,99.62,92.36,47.24,151.74
2019-07-29,212.95,62.21,59.33,107,68.29,129.14,101.2,94.72,48.47,153.2
2019-07-26,212.15,61.94,59.9,106,68.67,128.54,100.98,94.46,48.375,155.26
2019-07-25,212.2,62.76,59.18,105.65,68.95,130.38,100.96,94.08,48.255,154.06
2019-07-24,215.1,63.86,60.1,105.85,70.01,130.7,102.24,95.12,49.215,158.62
2019-07-23,216.1,63.67,60.99,107.65,69.34,129.72,101.44,96.24,48.045,157.14
2019-07-22,214.5,61.26,59.6,106.9,66.77,122.02,99.5,94.44,46.04,151.4
2019-07-19,215.7,60.8,59.55,106.2,66.57,120.2,99.54,93.42,45.44,151.46
2019-07-18,215.45,60.43,58.76,106.65,66.15,116.9,99.18,94.46,45.38,151.46
2019-07-17,217,60.84,59.01,107.15,66.35,118.14,99.68,92.68,46.13,153.06
2019-07-16,217.55,61.71,59.08,106.55,67.12,119.92,100.34,92.66,46.82,154.94
2019-07-15,217.55,61.03,58.63,106.35,66.66,118.2,99.75,92.32,46.52,154.2
2019-07-12,216.15,60.22,58.83,106.05,65.89,117.8,99.68,92.48,46.34,153.54
2019-07-11,216.5,59.5,59.14,106.2,65.24,115.22,99.69,92.8,46.65,151.94
2019-07-10,216.5,60.12,59.51,106.55,65.65,118.22,100.78,93,47.02,152.4
2019-07-09,218.15,60.51,59.8,106.65,66.17,120.06,101.3,92.94,47.77,153.96
2019-07-08,218.05,62.59,60.03,107.5,66.7,123.68,101.48,93.24,48.58,154.8
2019-07-05,217.15,62.56,60.71,107.35,67.05,124.66,102.44,95.02,49.12,154.6
2019-07-04,217.2,62.68,60.92,108.15,67.11,124.8,105.54,95.52,49.035,154.64
2019-07-03,216.8,62.58,61.01,108.55,66.61,122.9,105.38,95.34,49.02,153.62
2019-07-02,216,62.73,60.53,108.05,65.33,124.9,105,95,48.645,151
2019-07-01,214.2,63.96,61.31,106.15,65.1,127.34,106,93.82,48.81,150
2019-06-28,212,63.92,60.94,105.55,65.09,128.22,104.6,91.96,48.925,148.22
2019-06-27,210.65,63.08,60.86,104.2,64.85,126.44,103.54,92.72,48.295,147.18
2019-06-26,212.6,62.12,55.99,104.3,64.57,126.86,103.74,92.3,48.115,147.5
2019-06-25,212,61.74,55.32,106.15,63.15,126.14,104.8,93.58,47.59,145.92
2019-06-24,212.9,62.05,55.34,107,63.64,128.08,106.06,92.9,47.76,147
2019-06-21,212.7,62.69,54.82,106.6,64.44,130.72,105.74,91.74,49.62,147.18
2019-06-20,211.85,62.54,55.49,106.9,64.56,129.94,106.46,93.86,49.37,146.9
2019-06-19,211.7,62.2,55.03,106.75,64.2,128.86,106.28,94.36,49.2,145.36
2019-06-18,211.05,61.59,54.07,107.8,63.61,124.42,105.8,93.7,48.66,143.32
2019-06-17,208.15,59.98,52.53,107.5,62.1,122.1,103.42,91.12,47.315,140.72
2019-06-14,207.4,60.48,52.85,106.95,62.46,124.4,104.02,91.8,47.42,141.24
2019-06-13,207.6,61.64,53.63,107.25,62.78,125.68,105.18,91.68,48.175,142.8
2019-06-12,206.25,61.95,53.31,107.1,62.64,126.48,105.02,90.9,48.09,142.36
2019-06-11,206.5,62.78,53.85,105.8,62.98,128.1,105.56,91,48.47,143.74
2019-06-07,204.3,61.28,52.87,105.45,62.32,124.2,104.24,89.46,47.605,141.88
2019-06-06,202.15,60.88,53.29,104.5,62.34,123.62,103.58,89.06,47.315,141.84
2019-06-05,202.3,61.06,53.98,104.6,63.02,124,104.48,88.66,48.05,142.78
2019-06-04,203.4,61.32,54.5,103.4,63.43,126.16,104.28,88.56,48.58,144.66
2019-06-03,199.16,59.15,53.88,104.4,61.64,122.28,102.42,88.28,46.655,140.06
2019-05-31,198.86,59.06,52.82,103.05,62.02,121.8,101.44,86.46,46.435,139.5
2019-05-30,201.35,59.82,54.3,104,63.05,123.54,103.12,87.8,47.3,143.22
2019-05-29,199.08,59.57,53.91,102.3,63.15,123.4,102.84,87.62,47.23,143.28
2019-05-28,201.65,59.89,55.43,103.25,63.84,126.4,105.3,89.68,47.68,144.84
2019-05-27,202.8,60.99,54.67,103.5,63.76,124.92,105.3,89.94,47.7,144.06
2019-05-24,202,60.73,53.9,102.95,63.47,123.7,105.22,90.64,47.43,142.86
2019-05-23,199.8,60.56,54.21,102.05,63.39,123.34,103.7,89.94,47.33,142
2019-05-22,202.9,62.04,55.85,101.2,64.23,126.8,106.54,90.6,50.83,144.3
2019-05-21,204.45,62.22,56.07,100.1,64.63,127.82,107.22,90.84,52.12,144.7
2019-05-20,201.7,61.93,55.8,101.3,64.81,126.52,105.5,91.02,52.02,144.82
2019-05-17,204.35,63.56,56.95,102.3,66.16,129.04,107.42,91.62,53.36,147.14
2019-05-16,206.65,64.6,57.29,102.2,69.8,129.3,108.66,91.66,54,148.1
2019-05-15,201.65,63.57,56.45,100.2,70,131.12,106.68,91.1,54.3,149.12
2019-05-14,200.4,63.14,55.33,99.56,67.88,128.76,106.04,92.14,52.75,149.02
2019-05-13,196.84,63.15,56.47,99.14,68.06,127.88,104.78,95.68,52.12,147.54
2019-05-10,198.84,65.23,57.54,98.4,68.87,133.74,107.02,96.52,53.89,150.32
2019-05-09,198.82,65.52,57.07,98.28,69.3,134.44,105.28,96.64,55.65,151.5
2019-05-08,209,66.73,59.65,98.4,71.38,142,107.16,97.26,57.3,154.58
2019-05-07,210.1,66.45,59.61,98.24,72.28,140.6,102.48,96.4,56.62,154.42
2019-05-06,212.45,69,61.13,98.62,74,143.2,104.6,94.86,57.34,157.62
2019-05-03,215.05,72.87,61.87,98.48,75.67,146.9,105.76,95.88,58.54,160.28
2019-05-02,214.8,72.33,61.57,97.8,75.8,148.12,105.34,94.86,58.61,160.74
2019-04-30,214.8,72.49,59.34,97.44,75.9,147.36,106.74,94.88,58.34,155.04
2019-04-29,213.9,72.48,59.38,94.08,75.89,149.14,105.86,95.62,58.14,156.2
2019-04-26,213.85,72.82,61.54,94.56,76.2,153.26,105.3,95.62,58.3,155.76
2019-04-25,213.3,72.76,61.04,93.74,75.78,149.02,105.64,95.12,57.7,155.46
2019-04-24,211.95,73.17,60.2,93.36,76.47,151.38,105.62,96.08,58.44,157.5
2019-04-23,214.3,74.49,62,93.84,77.5,153.44,105.68,96,59.11,160
2019-04-18,214.85,74.16,61.16,93.12,77.75,155.6,106.5,93.78,59.31,163.14
2019-04-17,213.9,73.93,61.54,92.68,77.25,156.72,105.84,94.92,58.08,161.36
2019-04-16,212,72.93,62.21,92.08,76.4,154.5,104.54,95.9,56.95,156.62
2019-04-15,209.8,72.15,61.71,93.22,75.65,153.34,103.74,96.7,56.49,154.98
2019-04-12,208.3,71.79,61.42,93.66,75.29,153.04,103.86,97.18,56.67,153.34
2019-04-11,207.95,69.61,60.79,94.5,73.51,150.42,102.44,99.24,55.45,151.14
2019-04-10,206.5,68.83,61.47,94.8,73.19,146.6,101.58,99.7,55.06,147.6
2019-04-09,205.65,68.71,60.92,94.28,73.2,146.9,100.7,99.76,55.23,148
2019-04-08,205.4,69.22,61.29,93.5,73.57,148.52,102.02,102.45,55.97,149.32
2019-04-05,206.6,69.46,61.47,93.34,73.79,150.22,102.14,102.15,56.01,148.76
2019-04-04,206.6,69.12,60.68,93.38,73.34,149.04,100.98,101.1,56.22,149.96
2019-04-03,205.6,69.37,60.41,93.06,72.58,148.48,100.7,101.1,55.49,148.52
2019-04-02,201.55,67.18,59.15,93.22,71.25,144.44,99.17,101.3,54.95,146.1
2019-04-01,199.94,66.66,58.26,93.64,69.7,141.18,97.95,100.75,54.4,144.46
2019-03-29,198.28,65.53,57.6,92.74,68.75,134.2,95.94,101.65,52.25,140.32
2019-03-28,197.44,65.54,56.29,92.2,67.89,133.95,95,101,51.09,138.48
2019-03-27,198,65.12,56.33,91.76,68.23,134.55,95.57,99.4,51.35,139.04
2019-03-26,197.58,65.27,57.07,91.72,67.91,136.55,94.78,99.08,50.39,138.62
2019-03-25,196.2,65.32,57.59,90.52,68.92,137.2,94.9,98.7,50.75,139.82
2019-03-22,196.34,65.51,59.3,89.86,69.6,137.85,95.28,98.68,50.5,139.14
2019-03-21,197.3,67.08,61.28,89.74,71.15,141.6,98.41,100.25,51.5,142.94
2019-03-20,198.92,67.5,63,88.56,71.98,140.9,97.35,100.25,51.72,143.92
2019-03-19,200.2,67.8,69.7,87.34,75.72,145.1,99.5,100.3,52.86,147.9
2019-03-18,200.2,66.95,68.03,87.46,74.17,142.15,97.98,99.16,51.1,145.5
2019-03-15,200.9,67.51,67.75,87,74.09,143.35,97.98,98.36,51.67,144.32
2019-03-14,199.4,66.19,67.79,86.86,73.78,140.8,96.84,100.4,50.97,144.16
2019-03-13,198.44,67.08,68.04,85.72,73.63,141.75,96.16,98.92,50.88,145.54
2019-03-12,196.66,66.8,67.04,85.56,73.1,140.45,96.11,98.94,50.56,143.98
2019-03-11,196.8,66.86,68.4,85,73.18,139.7,95.78,97.42,50.75,146.66
2019-03-08,195.88,66.4,69.49,86.12,72.16,139,95.14,95.34,50.08,147.06
2019-03-07,197.26,67.06,71.14,86.42,73.09,141.55,96.45,93.44,50.44,149.94
2019-03-06,198.46,68.08,72.47,84.8,74.53,144.2,97.22,93.42,52.2,152.18
2019-03-05,198.14,68.13,72.81,85,75.06,145.85,97.22,93.38,52.91,154.22
2019-03-04,197.7,68.31,72.35,83.5,74.67,146.8,97.42,93.18,53.48,154.24
2019-03-01,197.34,68.06,71.43,83.36,74.75,146.15,96.94,92.54,53.28,154.18
2019-02-28,195.6,66.99,70.28,81.56,74.31,144,96.13,90.78,52.66,150.9
2019-02-27,194.48,67.28,69.28,81.98,74.24,144.15,96.68,90.86,52.88,151.66
2019-02-26,195.24,67.56,66.5,90.9,74,144.95,98.13,94.88,53.15,151.02
2019-02-25,194.14,64.79,66.93,90.8,73.7,146.75,96.57,95.32,53.44,151.18
2019-02-22,194.06,65.25,67,91.42,73.13,143.9,95.84,96.2,52.2,146.72
2019-02-21,193.2,65.74,67.9,92.44,73.12,143.85,94.44,96,52.11,146.58
2019-02-20,192,66.32,68.36,91.54,72.51,144.8,94.6,97.08,51.76,146.68
2019-02-19,191.04,65.86,67.8,91.4,71.04,139,94.05,96.96,50.46,143.18
2019-02-18,189.52,66.14,68.16,92.12,70.59,138.35,93.9,97.06,50.4,142.74
2019-02-15,190.14,66.32,68.17,91.62,70.77,138.65,94.62,96.92,50.61,144.4
2019-02-14,184.2,64.52,65.55,91.48,69.35,133.7,92.25,96.6,49.3,141.86
2019-02-13,185.66,64.85,68.31,91.6,70.39,136.65,92.08,95.7,50.22,143.74
2019-02-12,185.28,65,67.5,91.12,69.91,134,92.23,94.38,49.385,144.24
2019-02-11,184.04,63.31,66.59,89.66,69.41,129.45,92.25,94.64,48.16,140.86
2019-02-08,182.72,62.56,66.2,88.78,69.53,128.25,91.52,95.08,48.01,139.86
2019-02-07,184.52,63.16,67,89,71.22,131.85,92.79,95.44,49.225,142.32
2019-02-06,187.12,65.85,69.07,89.76,73.65,137.75,95.41,96.74,51.95,149.4
2019-02-05,187.6,66.16,69.28,90.6,73.61,136.95,96.33,96.68,52.91,149.32
2019-02-04,185.86,64.75,67.57,88.54,73.24,133.85,95,93.76,52.17,147.66
2019-02-01,186.16,64.49,66.97,87.5,74.14,135.4,95.62,91.96,53.03,149.56
2019-01-31,184.92,63.82,66.2,87.3,73.46,137.65,95.78,91.58,51.66,148.62
2019-01-30,185.5,65.51,65.69,87.34,73.33,138,99.78,91.36,51.77,147.42
2019-01-29,185.64,65.24,65.99,87.14,73.85,137.4,100.52,91.52,52,147.62
2019-01-28,184.44,64.54,66.59,85.84,73.98,139.9,100.02,90.44,52.19,149.74
2019-01-25,185.92,65.09,67.81,85.2,74.35,140,100.32,92.06,52.57,151.64
2019-01-24,185,63.49,66.02,85.52,73.12,137.15,99,90.62,51.09,145.54
2019-01-23,183.28,63.16,66,86.64,72.23,132.95,98.65,91.04,50.28,142.26
2019-01-22,183.32,64.34,65.96,86.82,72.73,133.25,99.43,90.44,50.57,143.6
2019-01-21,184.4,65.15,65.97,87.96,73.03,134,100.76,90.06,50.72,144.88
2019-01-18,184,65.6,66.5,88.34,73.34,134.5,100.56,90.5,50.89,145.66
2019-01-17,180.24,63,64.16,88.1,71.26,128.75,97.9,90,48.935,142.9
2019-01-16,180.4,62.87,65.08,88.34,71.53,129.85,97.59,90.6,49.85,144.9
2019-01-15,179.24,63,65.02,88.18,71.62,131.3,97.7,91.6,49.44,145.06